#!,Workbook:,Custom,Custom,,
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.,,,,
#!,For more information visit http://aka.ms/hackingstem/,,,,
Angle = 114,LDR_1 = 504,LDR_2 = 609,Error w.r.t ldr_1(red,-105,105
Angle = 113,LDR_1 = 499,LDR_2 = 603,Error w.r.t ldr_1(red,-104,104
Angle = 112,LDR_1 = 495,LDR_2 = 597,Error w.r.t ldr_1(red,-102,102
Angle = 111,LDR_1 = 494,LDR_2 = 598,Error w.r.t ldr_1(red,-104,104
Angle = 110,LDR_1 = 492,LDR_2 = 594,Error w.r.t ldr_1(red,-102,102
Angle = 109,LDR_1 = 507,LDR_2 = 601,Error w.r.t ldr_1(red,-94,94
Angle = 108,LDR_1 = 483,LDR_2 = 585,Error w.r.t ldr_1(red,-102,102
Angle = 107,LDR_1 = 479,LDR_2 = 584,Error w.r.t ldr_1(red,-105,105
Angle = 106,LDR_1 = 475,LDR_2 = 577,Error w.r.t ldr_1(red,-102,102
Angle = 105,LDR_1 = 472,LDR_2 = 574,Error w.r.t ldr_1(red,-102,102
Angle = 104,LDR_1 = 470,LDR_2 = 572,Error w.r.t ldr_1(red,-102,102
Angle = 103,LDR_1 = 470,LDR_2 = 574,Error w.r.t ldr_1(red,-104,104
Angle = 102,LDR_1 = 480,LDR_2 = 581,Error w.r.t ldr_1(red,-101,101
Angle = 101,LDR_1 = 465,LDR_2 = 572,Error w.r.t ldr_1(red,-107,107
Angle = 100,LDR_1 = 461,LDR_2 = 567,Error w.r.t ldr_1(red,-106,106
Angle = 99,LDR_1 = 459,LDR_2 = 564,Error w.r.t ldr_1(red,-105,105
Angle = 98,LDR_1 = 456,LDR_2 = 558,Error w.r.t ldr_1(red,-102,102
Angle = 97,LDR_1 = 474,LDR_2 = 573,Error w.r.t ldr_1(red,-99,99
Angle = 96,LDR_1 = 455,LDR_2 = 559,Error w.r.t ldr_1(red,-104,104
Angle = 95,LDR_1 = 449,LDR_2 = 552,Error w.r.t ldr_1(red,-103,103
Angle = 94,LDR_1 = 445,LDR_2 = 549,Error w.r.t ldr_1(red,-104,104
Angle = 93,LDR_1 = 449,LDR_2 = 550,Error w.r.t ldr_1(red,-101,101
Angle = 92,LDR_1 = 446,LDR_2 = 551,Error w.r.t ldr_1(red,-105,105
Angle = 91,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 90,LDR_1 = 1023,LDR_2 = 1021,Error w.r.t ldr_1(red,2,2
Angle = 89,LDR_1 = 444,LDR_2 = 548,Error w.r.t ldr_1(red,-104,104
Angle = 88,LDR_1 = 1016,LDR_2 = 1023,Error w.r.t ldr_1(red,-7,7
Angle = 87,LDR_1 = 1023,LDR_2 = 1023,Error w.r.t ldr_1(red,0,0
Angle = 86,LDR_1 = 458,LDR_2 = 545,Error w.r.t ldr_1(red,-87,87
Angle = 85,LDR_1 = 434,LDR_2 = 535,Error w.r.t ldr_1(red,-101,101
Angle = 84,LDR_1 = 428,LDR_2 = 530,Error w.r.t ldr_1(red,-102,102
Angle = 83,LDR_1 = 425,LDR_2 = 525,Error w.r.t ldr_1(red,-100,100
Angle = 82,LDR_1 = 426,LDR_2 = 527,Error w.r.t ldr_1(red,-101,101
Angle = 81,LDR_1 = 428,LDR_2 = 527,Error w.r.t ldr_1(red,-99,99
Angle = 80,LDR_1 = 423,LDR_2 = 520,Error w.r.t ldr_1(red,-97,97
Angle = 79,LDR_1 = 422,LDR_2 = 519,Error w.r.t ldr_1(red,-97,97
Angle = 78,LDR_1 = 424,LDR_2 = 525,Error w.r.t ldr_1(red,-101,101
Angle = 77,LDR_1 = 418,LDR_2 = 517,Error w.r.t ldr_1(red,-99,99
Angle = 76,LDR_1 = 417,LDR_2 = 514,Error w.r.t ldr_1(red,-97,97
Angle = 75,LDR_1 = 421,LDR_2 = 519,Error w.r.t ldr_1(red,-98,98
Angle = 74,LDR_1 = 417,LDR_2 = 514,Error w.r.t ldr_1(red,-97,97
Angle = 73,LDR_1 = 413,LDR_2 = 510,Error w.r.t ldr_1(red,-97,97
Angle = 72,LDR_1 = 418,LDR_2 = 517,Error w.r.t ldr_1(red,-99,99
Angle = 71,LDR_1 = 415,LDR_2 = 514,Error w.r.t ldr_1(red,-99,99
Angle = 70,LDR_1 = 410,LDR_2 = 508,Error w.r.t ldr_1(red,-98,98
Angle = 69,LDR_1 = 417,LDR_2 = 512,Error w.r.t ldr_1(red,-95,95
Angle = 68,LDR_1 = 410,LDR_2 = 508,Error w.r.t ldr_1(red,-98,98
Angle = 67,LDR_1 = 407,LDR_2 = 502,Error w.r.t ldr_1(red,-95,95
Angle = 66,LDR_1 = 413,LDR_2 = 510,Error w.r.t ldr_1(red,-97,97
Angle = 65,LDR_1 = 409,LDR_2 = 505,Error w.r.t ldr_1(red,-96,96
Angle = 64,LDR_1 = 406,LDR_2 = 499,Error w.r.t ldr_1(red,-93,93
Angle = 63,LDR_1 = 412,LDR_2 = 507,Error w.r.t ldr_1(red,-95,95
Angle = 62,LDR_1 = 1019,LDR_2 = 1021,Error w.r.t ldr_1(red,-2,2
Angle = 61,LDR_1 = 1023,LDR_2 = 1022,Error w.r.t ldr_1(red,1,1
Angle = 60,LDR_1 = 1023,LDR_2 = 1022,Error w.r.t ldr_1(red,1,1
Angle = 59,LDR_1 = 429,LDR_2 = 509,Error w.r.t ldr_1(red,-80,80
Angle = 58,LDR_1 = 416,LDR_2 = 510,Error w.r.t ldr_1(red,-94,94
Angle = 57,LDR_1 = 414,LDR_2 = 509,Error w.r.t ldr_1(red,-95,95
Angle = 56,LDR_1 = 411,LDR_2 = 506,Error w.r.t ldr_1(red,-95,95
Angle = 55,LDR_1 = 407,LDR_2 = 501,Error w.r.t ldr_1(red,-94,94
